ordem	Tratamento	Variedade	Acesso_name	Cod_Tratamento	Fotoperiodo	Bloco	Plot_number	Obs	Plant_number	Hormonio	Poda	Poda2	Ram	Filtro	NFFR0_P_R0	NFMR0_P_R0	NFFR0_P_R1	NFMR0_P_R1	CompR0	NumRam	NumFF	NumFM	NumFrutos	Nsem	mDAR0	mDAR1	mDAR2	mDAR3	mDAR4	mDAR5	mDAR6	mCompR0	mCompR1	mCompR2	mCompR3	mCompR4	CompR5cM	CompR6cM	NumTotalFF	NumTotalFM	CompTotal	NumEvRam	mCompTotal	NEvR_240	NEvR_300
15	T1	V04	BR-14-010-11	T1-V04	NE	1	4	OK	3	Controle	Controle_R1	Controle	Ram1	flor	0	0	0	0	270	1	0	0	0	NA	433	496	NA	NA	NA	NA	NA	270	0	0	0	0	0	0	0	0	270	0	270	0	0
18	T1	V05	BR-17-006-62	T1-V05	NE	1	5	OK	2	Controle	Controle_R1	Controle	Ram1	flor	0	0	4	25	180	1	0	0	0	NA	376	404	445	496	NA	NA	NA	180	18	0	0	0	0	0	13	63	198	2	198	0	0
20	T1	V05	BR-17-006-62	T1-V05	NE	1	5	OK	4	Controle	Controle_R1	Controle	Ram1	flor	2	3	2	3	100	1	2	3	0	NA	137	224	297	373	396	417	445	100	50	45	21	17	15	0	51	254	248	6	248	2	3
24	T1	V06	BR-17-012-59	T1-V06	NE	1	6	OK	4	Controle	Controle_R1	Controle	Ram1	flor	0	0	12	9	58	1	0	0	0	NA	343	376	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	12	9	0	2	400	0	0
25	T1	V07	BRS-Kiriris	T1-V07	NE	1	7	OK	1	Controle	Controle_R1	Controle	Ram1	flor	0	3	0	3	255	1	0	3	0	NA	396	496	NA	NA	NA	NA	NA	255	0	0	0	0	0	0	0	3	255	1	255	0	0
26	T1	V07	BRS-Kiriris	T1-V07	NE	1	7	Remover	2	Controle	Controle_R1	Controle	Ram1	flor	0	0	0	0	360	1	0	0	0	NA	419	496	NA	NA	NA	NA	NA	360	0	0	0	0	0	0	0	0	360	1	360	0	0
27	T1	V07	BRS-Kiriris	T1-V07	NE	1	7	OK	3	Controle	Controle_R1	Controle	Ram1	flor	0	0	2	7	250	1	0	0	0	NA	355	376	419	446	472	NA	NA	250	21	20	NA	0	0	0	64	482	291	3	291	0	0
29	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	1	Controle	Controle_R1	Controle	Ram1	flor	2	3	2	3	158	1	2	3	0	NA	180	224	282	343	376	404	445	158	39	56	27	17	12	0	217	802	309	6	309	2	3
30	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	2	Controle	Controle_R1	Controle	Ram1	flor	2	4	12	49	235	1	2	4	0	NA	396	419	472	496	NA	NA	NA	235	15	NA	0	0	0	0	30	239	250	2	250	0	0
31	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	3	Controle	Controle_R1	Controle	Ram1	flor	2	5	18	75	200	1	2	5	1	NA	380	396	412	445	472	496	NA	200	20	11	NA	0	0	0	85	305	231	3	231	0	0
32	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	4	Controle	Controle_R1	Controle	Ram1	flor	1	2	1	2	144	1	1	2	0	NA	196	224	297	311	343	373	404	144	25	39	20	16	10	9	57	155	263	7	263	2	3
33	T1	V09	BRS-CS-01	T1-V09	NE	1	9	OK	1	Controle	Controle_R1	Controle	Ram1	flor	0	0	0	0	123	1	0	0	0	NA	238	269	377	404	445	NA	NA	123	19	15	14	0	0	12	29	92	183	4	183	1	2
34	T1	V09	BRS-CS-01	T1-V09	NE	1	9	OK	2	Controle	Controle_R1	Controle	Ram1	flor	2	0	7	13	145	1	2	0	0	NA	282	343	377	NA	NA	NA	NA	145	15	14	0	0	0	10	23	41	184	3	184	0	1
36	T1	V09	BRS-CS-01	T1-V09	NE	1	9	OK	4	Controle	Controle_R1	Controle	Ram1	flor	1	2	1	2	190	1	1	2	0	NA	282	NA	NA	NA	NA	NA	NA	190	0	0	0	0	0	0	1	2	190	1	190	0	1
37	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	1	Controle	Controle_R1	Controle	Ram1	flor	0	0	0	0	85	1	0	0	0	NA	97	168	224	269	311	373	NA	85	81	40	41	15	8	0	42	204	270	6	270	3	4
38	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	2	Controle	Controle_R1	Controle	Ram1	flor	0	0	0	0	131	1	0	0	0	NA	180	224	297	311	343	396	417	131	40	52	25	14	10	10	147	697	282	7	282	2	3
39	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	3	Controle	Controle_R1	Controle	Ram1	flor	4	2	4	2	105	1	4	2	0	NA	123	196	224	297	NA	NA	NA	105	39	33	25	0	0	0	9	12	202	4	202	3	4
40	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	4	Controle	Controle_R1	Controle	Ram1	flor	0	0	2	1	106	1	0	0	0	NA	154	196	224	297	343	373	NA	106	43	37	39	20	10	0	53	268	255	6	255	3	4
41	T1	V01	2011-34-64	T1-V01	NE	2	11	OK	1	Controle	Controle_R1	Controle	Ram1	flor	1	11	13	66	185	1	1	11	0	NA	367	396	419	472	496	NA	NA	185	19	15	0	0	0	0	32	163	219	3	219	0	0
44	T1	V01	2011-34-64	T1-V01	NE	2	11	OK	4	Controle	Controle_R1	Controle	Ram1	flor	0	0	6	40	220	1	0	0	0	NA	311	377	396	423	472	NA	NA	220	19	10	10	0	0	0	72	181	259	4	259	0	0
57	T1	V05	BR-17-006-62	T1-V05	NE	2	15	OK	1	Controle	Controle_R1	Controle	Ram1	flor	0	0	2	1	85	1	0	0	0	NA	97	180	224	297	367	396	446	85	46	35	35	18	29	0	13	17	248	6	248	3	4
58	T1	V05	BR-17-006-62	T1-V05	NE	2	15	OK	2	Controle	Controle_R1	Controle	Ram1	flor	1	5	1	5	290	1	1	5	0	NA	412	NA	NA	NA	NA	NA	NA	290	NA	0	0	0	0	0	1	5	290	1	290	0	0
60	T1	V05	BR-17-006-62	T1-V05	NE	2	15	OK	4	Controle	Controle_R1	Controle	Ram1	flor	0	0	0	0	100	1	0	0	0	NA	112	NA	445	NA	NA	NA	NA	100	0	0	0	0	0	0	0	17	100	1	100	1	1
