ordem	Tratamento	Variedade	Acesso_name	Cod_Tratamento	Fotoperiodo	Bloco	Plot_number	Obs	Plant_number	Hormonio	Poda	Poda2	NFFR0_P_R0	NFMR0_P_R0	NFFR0_P_R1	NFMR0_P_R1	NFFR0_P_R2	NFMR0_P_R2	CompR0cm	NumFFR0	NumFMR0	NumFHerR0	NumFrutosR0	NSemR0	CompR1cm	NumRamR1	NumFFR1	NumFMR1	NumFHerR1	NumFrutosR1	NSemR1	CompR2cm	NumRamR2	NumFFR2	NumFMR2	NumFHerR2	NumFrutosR2	NSemR2	CompR3cm	NumRamR3	NumFFR3	NumFMR3	NumFHerR3	NumFrutosR3	NSemR3	CompR4cm	NumRamR4	NumFFR4	NumFMR4	NumFHerR4	NumFrutosR4	NSemR4	CompR5	NumRamR5	NumFFR5	NumFMR5	NumFHerR5	NumFrutosR5	NSemR5	mDAR0	mDAR1	mDAR2	mDAR3	mDAR4	mDAR5	mDAR6	mCompR0	mCompR1	mCompR2	mCompR3	mCompR4	CompR5cM	CompR6cM	NumTotalFF	NumTotalFM	CompTotal	NumEvRam	mCompTotal	NEvR_240	NEvR_300
15	T1	V04	BR-14-010-11	T1-V04	NE	1	4	OK	3	SemHorm	Controle	Controle	0	0	0	0	0	0	270	0	0	0	0	NA	50	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	433	496	NA	NA	NA	NA	NA	270	0	0	0	0	0	0	0	0	270	0	270	0	0
18	T1	V05	BR-17-006-62	T1-V05	NE	1	5	OK	2	SemHorm	Controle	Controle	0	0	4	25	8	41	180	0	0	0	0	NA	18	2	4	25	0	0	NA	18	4	4	16	0	0	NA	18	7	5	22	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	376	404	445	496	NA	NA	NA	180	18	0	0	0	0	0	13	63	198	2	198	0	0
20	T1	V05	BR-17-006-62	T1-V05	NE	1	5	OK	4	SemHorm	Controle	Controle	2	3	2	3	2	3	100	2	3	0	0	NA	50	2	0	0	0	0	NA	45	2	0	0	0	0	NA	21	2	2	5	0	NA	NA	17	5	10	56	1	0	NA	15	8	29	120	0	0	NA	137	224	297	373	396	417	445	100	50	45	21	17	15	0	51	254	248	6	248	2	3
24	T1	V06	BR-17-012-59	T1-V06	NE	1	6	OK	4	SemHorm	Controle	Controle	0	0	12	9	12	9	58	0	0	0	0	NA	114	3	12	9	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	343	376	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	12	9	0	2	400	0	0
25	T1	V07	BRS-Kiriris	T1-V07	NE	1	7	OK	1	SemHorm	Controle	Controle	0	3	0	3	0	3	255	0	3	0	0	NA	31	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	396	496	NA	NA	NA	NA	NA	255	0	0	0	0	0	0	0	3	255	1	255	0	0
26	T1	V07	BRS-Kiriris	T1-V07	NE	1	7	Remover	2	SemHorm	Controle	Controle	0	0	0	0	0	0	360	0	0	0	0	NA	39	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	419	496	NA	NA	NA	NA	NA	360	0	0	0	0	0	0	0	0	360	1	360	0	0
27	T1	V07	BRS-Kiriris	T1-V07	NE	1	7	OK	3	SemHorm	Controle	Controle	0	0	2	7	6	32	250	0	0	0	0	NA	21	2	2	7	NA	NA	NA	20	5	4	25	0	0	NA	21	12	23	210	0	0	NA	10	15	35	240	0	0	NA	NA	NA	NA	NA	NA	NA	NA	355	376	419	446	472	NA	NA	250	21	20	NA	0	0	0	64	482	291	3	291	0	0
29	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	1	SemHorm	Controle	Controle	2	3	2	3	2	3	158	2	3	0	0	NA	39	2	0	0	0	0	NA	56	4	0	0	0	0	NA	27	9	9	24	0	8	NA	17	19	54	225	NA	NA	NA	12	35	80	300	0	0	NA	180	224	282	343	376	404	445	158	39	56	27	17	12	0	217	802	309	6	309	2	3
30	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	2	SemHorm	Controle	Controle	2	4	12	49	22	119	235	2	4	0	0	NA	15	2	10	45	0	0	NA	46	4	10	70	0	0	NA	23	7	8	120	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	396	419	472	496	NA	NA	NA	235	15	NA	0	0	0	0	30	239	250	2	250	0	0
31	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	3	SemHorm	Controle	Controle	2	5	18	75	38	160	200	2	5	0	1	NA	20	3	16	70	0	5	NA	11	5	20	85	0	0	NA	25	0	20	45	0	0	NA	15	5	21	52	0	0	NA	5	8	6	48	0	0	NA	380	396	412	445	472	496	NA	200	20	11	NA	0	0	0	85	305	231	3	231	0	0
32	T1	V08	BRS-Novo-Horizonte	T1-V08	NE	1	8	OK	4	SemHorm	Controle	Controle	1	2	1	2	1	5	144	1	2	0	0	NA	25	2	0	0	0	0	NA	39	2	0	3	0	0	NA	20	6	0	0	0	0	NA	16	4	6	25	0	9	NA	10	8	21	55	0	NA	NA	196	224	297	311	343	373	404	144	25	39	20	16	10	9	57	155	263	7	263	2	3
33	T1	V09	BRS-CS-01	T1-V09	NE	1	9	OK	1	SemHorm	Controle	Controle	0	0	0	0	15	40	123	0	0	0	0	NA	19	2	0	0	0	0	NA	15	3	15	40	NA	0	NA	14	4	12	40	0	6	NA	15	5	2	12	0	0	NA	7	0	0	0	0	0	NA	238	269	377	404	445	NA	NA	123	19	15	14	0	0	12	29	92	183	4	183	1	2
34	T1	V09	BRS-CS-01	T1-V09	NE	1	9	OK	2	SemHorm	Controle	Controle	2	0	7	13	23	41	145	2	0	0	0	NA	15	2	5	13	0	0	NA	14	4	16	28	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282	343	377	NA	NA	NA	NA	145	15	14	0	0	0	10	23	41	184	3	184	0	1
36	T1	V09	BRS-CS-01	T1-V09	NE	1	9	OK	4	SemHorm	Controle	Controle	1	2	1	2	1	2	190	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282	NA	NA	NA	NA	NA	NA	190	0	0	0	0	0	0	1	2	190	1	190	0	1
37	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	1	SemHorm	Controle	Controle	0	0	0	0	0	0	85	0	0	0	0	NA	81	2	0	0	0	0	NA	40	3	0	0	0	0	NA	41	5	11	64	0	0	NA	15	5	18	100	0	6	NA	8	4	13	40	0	NA	NA	97	168	224	269	311	373	NA	85	81	40	41	15	8	0	42	204	270	6	270	3	4
38	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	2	SemHorm	Controle	Controle	0	0	0	0	0	48	131	0	0	0	0	NA	40	2	0	0	0	0	NA	52	4	0	48	0	0	NA	25	8	16	39	0	0	NA	14	13	60	210	0	7	NA	10	18	40	250	0	0	NA	180	224	297	311	343	396	417	131	40	52	25	14	10	10	147	697	282	7	282	2	3
39	T1	V10	BRS-Tapioqueira	T1-V10	NE	1	10	OK	3	SemHorm	Controle	Controle	4	2	4	2	4	2	105	4	2	0	0	NA	39	3	0	0	0	0	NA	33	8	0	0	0	0	NA	25	8	5	10	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123	196	224	297	NA	NA	NA	105	39	33	25	0	0	0	9	12	202	4	202	3	4
